id,name,cause,regions,source_primary,source_url,evidence_text,transparency_notes,transparency_url
52,Against Malaria Foundation ITNs,Insecticide-treated net distribution,Sub-Saharan Africa,GiveWell,https://www.givewell.org/charities/against-malaria-foundation,"Procures and distributes long-lasting insecticide-treated nets (LLINs) to protect families from malaria-carrying mosquitoes while sleeping in high-burden countries. Nets provide both physical barrier and insecticide kills mosquitoes. Evidence shows 20% reduction in all-cause child mortality. Door-to-door distribution ensures universal coverage. Detailed pre- and post-distribution monitoring. Partners with national malaria programs. Cost approximately $6 per net including distribution.","AMF has exceptional transparency including post-distribution check-ups at 6, 18, and 30 months. All data published.",https://www.againstmalaria.com/
53,New Incentives CCT,Conditional cash transfers for immunization,Northern Nigeria,GiveWell,https://www.givewell.org/charities/new-incentives,"Disburses small cash payments (~$11 total per infant) to caregivers conditional on infants receiving all age-appropriate routine immunizations at government health clinics. Increases immunization coverage and reduces preventable child deaths. Randomized trial showed 26 percentage point increase in full immunization. Also works with government to improve vaccine supply chains and clinic quality. Mobile money platform for transparent cash delivery.","New Incentives tracks vaccination rates, cash transfers delivered, and program costs. Regular monitoring and external evaluation.",https://www.newincentives.org/
54,Evidence Action Safe Water Now,Point-of-collection chlorination,Kenya Uganda Malawi,Evidence Action,https://www.evidenceaction.org/,"Maintains chlorine dispensers at communal water points enabling households to treat water with proper chlorine dosage at collection. Reduces waterborne disease deaths including diarrhea, cholera, and typhoid. RCT evidence shows 25% reduction in under-5 mortality. Over 10 million people with access. Community promoters encourage usage and refill dispensers monthly. Sustainable model with high usage rates (75%+). Cost ~$1.50 per person per year.","Evidence Action publishes detailed program metrics including dispensers operational, usage rates, and people reached.",https://www.evidenceaction.org/safe-water-now/
55,Evidence Action Equal Vitamin Access,Vitamin A supplementation systems strengthening,Nigeria,Evidence Action,https://www.evidenceaction.org/,"Works with governments to strengthen vitamin A supplementation programs ensuring coverage reaches the most vulnerable children. Addresses supply chain gaps, improves distribution systems, and builds government capacity. Complements direct service delivery organizations. Focus on system-level improvements for sustainable high coverage. Evidence-based approach to identifying and addressing bottlenecks. Cost-effective support to existing platforms.","Publishes program monitoring data and coverage improvements. Transparent about system strengthening approach.",https://www.evidenceaction.org/equal-vitamin-access/
56,Evidence Action Syphilis-Free Start,Maternal syphilis screening and treatment,Kenya,Evidence Action,https://www.evidenceaction.org/,"Supports screening and treatment programs for maternal syphilis to prevent congenital syphilis transmission. Maternal syphilis causes stillbirths, neonatal deaths, and serious complications. Testing and treatment with penicillin is highly effective and cost-effective. Works within antenatal care systems to ensure pregnant women receive testing and treatment. Addresses testing kit stockouts and supply chain issues. WHO recommends universal screening but coverage remains low in many countries.","Evidence Action tracks testing rates, treatment coverage, and program outcomes. Regular monitoring and reporting.",https://www.evidenceaction.org/syphilis-free-start/
57,StrongMinds,Mental health,Uganda Zambia,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Treats depression among women and adolescents in Africa through group interpersonal psychotherapy delivered by trained lay providers in community settings. Depression affects 1 in 5 women in Uganda. Evidence shows large sustained improvements in depression symptoms and well-being. Cost-effective at ~$100 per participant. 12-session group therapy model. Focus on task-shifting to lay providers for scalability. Also trains other organizations in methodology.","Publishes outcome data from surveys and monitoring. Independent evaluation evidence available.",https://strongminds.org/
58,Possible,Rural healthcare delivery,Rural Nepal,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Delivers high-quality healthcare in rural Nepal through community health workers and rural hospitals. Addresses maternal health, child health, and infectious diseases in areas with limited access. Operates government-partnered hospitals providing free care. Community health worker program provides home-based care. Evidence shows significant improvements in health outcomes. Model demonstrates public-private partnership for rural health delivery. Focus on sustainable systems strengthening.","Publishes detailed health outcome data and program reports. Academic partnerships produce research on model effectiveness.",https://www.possiblehealth.org/
59,Lwala Community Alliance,Community-led health,Rural Kenya,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Partners with rural Kenyan communities to co-create health, education, and economic development solutions addressing root causes of poverty and poor health outcomes. Community health worker model plus clinic services. Programs in maternal health, child health, WASH, agriculture, and youth empowerment. Community-owned and community-led approach. Evidence of improved health indicators in catchment area. Focus on holistic, integrated development.","Publishes program data and health outcome metrics. Transparent community partnership approach.",https://lwala.org/
60,Nyaya Health,Rural healthcare,Rural Nepal,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Provides comprehensive healthcare to remote communities in Nepal through hospitals, health posts, and community health worker programs. Focus on maternal and child health in underserved areas. Public-private partnership model with government. Free care for poorest community members. Strong community health worker network. Evidence of improved maternal and child health outcomes. Emphasis on health systems strengthening and sustainability.","Publishes health outcome data and program reports. Transparent about costs and impact.",https://nyayahealth.org/
61,Last Mile Health,Community health systems,Liberia Malawi,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Strengthens community health systems by training and supporting community health workers to provide primary healthcare in hard-to-reach areas. Works with governments to professionalize CHW programs. Demonstrated impact on maternal and child health outcomes. Equipped CHWs provide diagnosis and treatment for common illnesses plus health promotion. Digital tools for supervision and supply chain. Focus on sustainable government-owned programs.","Publishes implementation research and program data. Evidence from Liberia shows health improvements.",https://lastmilehealth.org/
62,Riders for Health,Health transport management,Sub-Saharan Africa,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Manages and maintains vehicles and motorcycles for health workers in rural Africa ensuring reliable transportation for delivering healthcare supplies and services. Addresses critical transport gap preventing health service delivery. Professional fleet management improves reliability and reduces costs. Enables vaccine delivery, supervision visits, and emergency transport. Focus on sustainable vehicle management systems. Works with governments and health NGOs.","Publishes program data on vehicles managed and health services enabled. Transparent about operational model.",https://www.ridesforhealth.org/
63,VillageReach,Health systems strengthening,Malawi Mozambique DRC,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Strengthens health systems in remote areas through improved supply chains, health worker support, and technology solutions. Programs ensure access to essential medicines and vaccines. Operates human-centered design approach to identify and address system gaps. Works within government health systems. Programs in cold chain equipment, vaccine delivery, community health, and digital health. Evidence of improved service availability and health outcomes.","Publishes program evaluations and implementation research. Transparent about system strengthening approach.",https://www.villagereach.org/
64,Project Healthy Children,Food fortification,Malawi Rwanda Liberia,The Life You Can Save,https://www.thelifeyoucansave.org/alumni,"Works with governments to implement large-scale food fortification programs adding essential vitamins and minerals to staple foods consumed by at-risk populations. Focus on flour, oil, and sugar fortification. Evidence shows fortification reduces anemia and prevents neural tube defects. Cost-effective population-level intervention. Provides technical assistance for fortification standards, monitoring, and enforcement. Sustainable government-led programs.","Publishes program data on population coverage and fortification compliance. Works transparently with governments.",https://www.projecthealthychildren.org/
65,Vitamin A Supplementation Programs,Mass supplementation campaigns,Sub-Saharan Africa South Asia,GiveWell,https://www.givewell.org/international/technical/programs/vitamin-A,"Mass distribution campaigns providing high-dose vitamin A capsules to children aged 6-59 months twice annually. Reduces mortality from infectious diseases (measles, diarrhea, malaria) and prevents blindness. Multiple large RCTs show 12-24% reduction in all-cause child mortality. Delivered through National Immunization Days and other platforms. Cost-effective at ~$1-2 per child per year. WHO recommends in areas with vitamin A deficiency.","Multiple organizations deliver VAS programs with monitoring data. Coverage surveys measure reach and equity.",https://www.who.int/health-topics/vitamin-a
66,Seasonal Malaria Chemoprevention Programs,Preventive antimalarial treatment,Sahel region of Africa,GiveWell,https://www.givewell.org/international/technical/programs/seasonal-malaria-chemoprevention,"Preventive antimalarial treatment administered monthly during peak transmission season (typically 4 months) to children under 5 in Sahel countries. Prevents severe malaria and death during highest-risk period. Strong evidence from multiple RCTs showing 75% reduction in malaria cases. WHO-recommended intervention. Community drug distributors deliver door-to-door with directly observed treatment. Complements other malaria interventions (nets, treatment).","Programs monitored through coverage surveys and pharmacovigilance. Data on coverage, adherence, and adverse events collected.",https://www.who.int/teams/global-malaria-programme/case-management/chemoprevention/smc
67,Insecticide-Treated Net Distribution,Malaria prevention,Sub-Saharan Africa,GiveWell,https://www.givewell.org/international/technical/programs/insecticide-treated-nets,"Distribution of long-lasting insecticide-treated bed nets (LLINs) providing physical and chemical barrier against malaria-carrying mosquitoes. Nets effective for 2-3 years. Evidence shows approximately 20% reduction in all-cause child mortality and 50% reduction in malaria cases. Universal coverage campaigns with door-to-door distribution. WHO recommends one net per two people. Mass distribution supplemented by continuous distribution through antenatal and immunization services.","National programs monitored through household surveys measuring coverage and usage. Post-distribution surveys verify delivery.",https://www.who.int/teams/global-malaria-programme/prevention/vector-control/insecticide-treated-nets
68,Conditional Cash Transfers for Immunization Programs,Incentive-based immunization,Low-coverage settings,GiveWell,https://www.givewell.org/international/technical/programs/cash-incentives,"Small financial incentives provided to caregivers conditional on bringing children for all scheduled routine immunizations. Increases vaccine coverage and reduces preventable deaths from measles, pneumonia, diarrhea, and other diseases. Evidence from RCTs shows significant increases in immunization rates. Complements supply-side improvements. Cost-effective in low-coverage settings where access exists but demand is insufficient. Mobile money platforms enable transparent delivery.","Programs track vaccination rates and cash transfer delivery. Independent verification of immunization through health records.",https://www.givewell.org/international/technical/programs/cash-incentives
69,Mass Deworming Programs,School-based deworming,Endemic areas in Africa Asia Latin America,GiveWell,https://www.givewell.org/international/technical/programs/deworming,"School-based administration of deworming medication (albendazole, mebendazole, praziquantel) to all children in endemic areas. Reduces worm burden from schistosomiasis and soil-transmitted helminths improving health, nutrition, and educational outcomes. WHO recommends periodic treatment in endemic areas without individual diagnosis. Cost-effective at ~$0.50-1 per child. Evidence shows improved school attendance and long-term earnings. Government-led programs with NGO support.","National programs report treatment coverage. Independent coverage validation surveys conducted in many countries.",https://www.who.int/teams/control-of-neglected-tropical-diseases/soil-transmitted-helminthiases
70,Safe Water Chlorination Programs,Point-of-collection water treatment,Rural sub-Saharan Africa,GiveWell,https://www.givewell.org/international/technical/programs/water-quality,"Point-of-collection chlorine dispensers enabling households to treat water with proper chlorine dosage. Reduces diarrheal disease and under-5 mortality. RCT evidence shows 25% mortality reduction in young children. Addresses contamination between source and consumption. Community-based distribution and promotion model. Sustainable with ongoing maintenance and refilling. Cost-effective at ~$1-2 per person per year. Complements protected water sources.","Programs monitor dispenser functionality and usage rates. Water quality testing verifies chlorination effectiveness.",https://www.evidenceaction.org/safe-water-now/
71,Unconditional Cash Transfer Programs,Direct cash assistance,Sub-Saharan Africa,GiveWell,https://www.givewell.org/international/technical/programs/cash-transfers,"Direct one-time cash payments via mobile money to extremely poor households with no restrictions. Recipients invest in most pressing needs including food, housing, livestock, education, and business assets. Strong evidence from multiple RCTs shows positive impacts on consumption, assets, psychological well-being, and empowerment. No evidence of increased alcohol/tobacco spending. Cost-effective in extreme poverty contexts. Digital delivery minimizes transaction costs.","Programs track transfer delivery and collect outcome data. Independent research evaluates impacts on multiple well-being dimensions.",https://www.givedirectly.org/
72,Salt Iodization Programs,Universal salt iodization,Iodine-deficient regions globally,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/iodine-global-network/,"Addition of iodine to salt at production level preventing iodine deficiency disorders including brain damage in newborns, cognitive impairment in children, and goiter in adults. Iodine deficiency affects 2 billion people globally. Salt iodization is safe, effective, and costs less than $0.05 per person per year. Requires regulatory framework and monitoring. WHO and UNICEF recommend universal salt iodization. Demonstrated success in eliminating iodine deficiency in 100+ countries.","Programs monitored through household salt iodine testing and population iodine nutrition surveys. Data reported to WHO.",https://www.who.int/health-topics/iodine
73,Fortification of Staple Foods Programs,Large-scale food fortification,Low and middle-income countries,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/project-healthy-children/,"Adding essential vitamins and minerals (iron, folic acid, zinc, B vitamins) to commonly consumed foods like flour, rice, and cooking oil. Addresses micronutrient deficiencies at population level. Evidence shows fortification reduces anemia, prevents neural tube defects, and improves cognition. Cost-effective at pennies per person per year. Requires industry partnerships and regulatory enforcement. Mandatory fortification in 80+ countries. Focus on ensuring quality and coverage.","National programs monitor fortification compliance through food sampling. Population surveys measure micronutrient status changes.",https://www.ffinetwork.org/
74,Community Health Worker Programs,Primary healthcare delivery,Low-resource settings globally,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/living-goods/,"Training and equipping local health workers to provide primary healthcare, education, and referrals in underserved communities. CHWs deliver diagnosis and treatment for common childhood illnesses (malaria, pneumonia, diarrhea), promote healthy behaviors, and link communities to health systems. Evidence shows improved access, utilization, and health outcomes. Cost-effective cadre for extending coverage. WHO recommends CHW programs for universal health coverage in resource-limited settings.","CHW programs monitored through health information systems tracking service delivery. Supervision data and quality assessments conducted.",https://www.livinggoods.org/
75,Obstetric Fistula Treatment Programs,Fistula repair surgery,Sub-Saharan Africa South Asia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/fistula-foundation/,"Surgical repair of childbirth injuries (vesicovaginal or rectovaginal fistula) causing incontinence. Surgery combined with counseling and reintegration support. Affects 2+ million women globally, mostly in areas without access to cesarean sections. 90%+ success rate for fistula closure. Repairs restore dignity and enable women to return to families and communities. Cost approximately $450 per surgery including hospital stay and follow-up. Also includes prevention through improved obstetric care.","Programs report surgical volumes, closure rates, and patient outcomes. Long-term follow-up data on quality of life improvements.",https://www.fistulafoundation.org/
76,Trachoma Elimination Programs,SAFE strategy implementation,Endemic areas in Africa Asia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/fred-hollows-foundation/,"Mass drug administration of azithromycin antibiotics combined with promotion of facial cleanliness and environmental improvement to eliminate trachoma, the leading infectious cause of blindness. Trachoma affects 137 million people in endemic areas. WHO SAFE strategy: Surgery for advanced disease, Antibiotics (azithromycin), Facial cleanliness, Environmental improvement (water/sanitation). Evidence shows elimination is achievable. 16 countries have eliminated trachoma as public health problem.","Programs monitored through trachoma prevalence surveys. WHO validates elimination and certifies countries meeting criteria.",https://www.who.int/teams/control-of-neglected-tropical-diseases/trachoma
77,Cataract Surgery Programs,Sight restoration surgery,Low-income countries,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/fred-hollows-foundation/,"Provision of affordable, high-quality cataract surgery to restore sight in blind or visually impaired individuals. Cataracts are leading cause of blindness globally (15 million people). Surgery highly effective with 90%+ success rates. Cost approximately $25-100 per surgery in low-income settings. Outreach programs identify patients in remote areas. Intraocular lens implants provide permanent vision restoration. Training surgeons and strengthening eye care systems.","Programs track surgical volumes, visual outcomes, and patient satisfaction. Quality audits ensure high success rates.",https://www.hollows.org/au/what-we-do/eye-health
78,Smallholder Agriculture Support Programs,Agricultural productivity,Sub-Saharan Africa,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/one-acre-fund/,"Provision of quality seeds, fertilizer, training, and financing to small-scale farmers. Increases crop yields (typically 50%+), farm income, and household food security. Evidence from RCTs shows significant economic impacts. Input financing repaid through harvest proceeds. Extensive field officer support with training on improved practices. Focus on staple crops (maize, beans) and sustainable intensification. Climate-smart agriculture approaches for resilience.","Programs track farmer enrollment, yields, repayment rates, and income changes. Independent evaluations measure long-term impacts.",https://oneacrefund.org/
79,Ultra-Poor Entrepreneurship Programs,Graduation model implementation,Sub-Saharan Africa South Asia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/village-enterprise/,"Business skills training combined with seed capital ($100-200) and ongoing mentorship helping extremely poor households start sustainable micro-enterprises. Evidence from multiple RCTs shows large sustained impacts on consumption, assets, and well-being. Forms business groups of 3 people for peer support. Provides 3-12 months of intensive support. Focus on women entrepreneurs (70-80% of participants). Cost-effective pathway out of extreme poverty.","Programs collect detailed outcome data through surveys. Multiple rigorous RCTs demonstrate long-term impacts.",https://villageenterprise.org/
80,Gender-Based Violence Prevention Programs,Social norm change,Sub-Saharan Africa South Asia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/breakthrough-trust/,"Community education and social norm change programs addressing intimate partner violence and promoting gender equality through curriculum integration, mass media campaigns, and community mobilization. Evidence from RCTs shows reduced acceptance of violence and improved gender attitudes. Works with schools, communities, and media. Addresses harmful masculinity norms and power imbalances. Focus on primary prevention through culture change.","Programs measure attitude and behavior changes through population surveys. RCT evidence demonstrates impacts.",https://www.inbreakthrough.org/
81,Girls Education Enrollment Programs,Out-of-school girl enrollment,Rural India,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/educate-girls/,"Community mobilization and volunteer-led efforts to identify and enroll out-of-school girls in formal education. Addresses social and economic barriers to girls' education. Volunteers conduct door-to-door surveys, engage parents, and support enrollment. Combined with learning support to ensure retention. Evidence shows significant enrollment increases and learning improvements. Cost-effective at ~$50 per girl enrolled. Targets India's most educationally backward districts.","Programs track enrollment numbers, retention rates, and learning outcomes. RCT evidence shows impact on enrollment and learning.",https://www.educategirls.ngo/
82,Remedial Learning Programs,Teaching at the Right Level,Sub-Saharan Africa South Asia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/teaching-at-the-right-level-africa/,"Supplementary education interventions targeting children at their actual learning level rather than grade level. Helps struggling students catch up in foundational literacy and numeracy. Strong evidence from multiple RCTs showing large learning gains. Uses volunteers or teachers to deliver catch-up classes. Groups children by learning level for targeted instruction. Cost-effective at $10-20 per child per year. Proven approach from India now scaling in Africa.","Programs measure learning outcomes through standardized assessments. Extensive RCT evidence demonstrates effectiveness.",https://www.teachingattherightlevel.org/
83,School Feeding Programs,Nutritious meal provision,Kenya other low-income countries,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/food4education/,"Daily nutritious meals provided to school children improving attendance, learning outcomes, and addressing hunger. Evidence shows school feeding increases enrollment and reduces absenteeism, particularly for girls. Addresses short-term hunger and long-term nutrition. Meals cost $0.15-0.50 per child per day. Uses local food sourcing supporting local economies. Government partnership model for sustainability and scale. Focus on areas with high food insecurity.","Programs track meal delivery, attendance rates, and enrollment. Nutrition assessments measure impact on child health.",https://food4education.org/
84,Maternal Syphilis Screening Programs,Antenatal screening and treatment,Sub-Saharan Africa,Evidence Action,https://www.evidenceaction.org/,"Testing and treatment of pregnant women for syphilis preventing congenital transmission, stillbirths, and neonatal complications. Maternal syphilis causes 200,000+ stillbirths and neonatal deaths annually. Testing and penicillin treatment is highly effective and cost-effective. Integrated into antenatal care services. Addresses testing kit stockouts and supply chain issues. WHO recommends universal screening but coverage remains low (~50% globally).","Programs track testing rates, treatment coverage, and adverse pregnancy outcomes. Monitoring identifies supply chain gaps.",https://www.evidenceaction.org/syphilis-free-start/
85,Schistosomiasis Control Programs,Mass drug administration,Sub-Saharan Africa,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/unlimit-health/,"Mass drug administration targeting schistosomiasis (snail fever) parasitic infection in school-age children and at-risk adults. Prevents organ damage (bladder, liver, intestines) and improves health and educational outcomes. Praziquantel is safe, effective, single-dose treatment. WHO recommends annual or biannual treatment in endemic areas. Treatment costs ~$0.50 per person. School-based delivery platform. Programs aim for 75% coverage to reduce transmission.","National programs report treatment coverage through school records. Prevalence surveys measure disease burden and program impact.",https://www.unlimithealth.org/
86,Soil-Transmitted Helminthiasis Treatment Programs,School-based deworming,Endemic areas globally,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/unlimit-health/,"School-based deworming programs treating intestinal worm infections (roundworm, hookworm, whipworm) improving nutrition, school attendance, and cognitive development. Affects 1.5 billion people globally, mostly children. Albendazole or mebendazole treatment is safe, effective, and costs ~$0.50 per child. WHO recommends periodic treatment without individual diagnosis in endemic areas. Evidence shows improved growth and school outcomes. Long-term impacts on earnings.","Programs report treatment coverage. Prevalence surveys monitor disease burden and assess program effectiveness.",https://www.unlimithealth.org/
87,Mass Media Health Campaigns,Behavior change communication,Burkina Faso DRC Mozambique,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/development-media-international/,"Radio and multimedia campaigns promoting evidence-based health behaviors including breastfeeding, immunization, hygiene, family planning, and care-seeking for childhood illness. Evidence from RCT in Burkina Faso showed 10% reduction in under-5 mortality. Uses social marketing and behavior change principles. Locally-produced programming in local languages. Reaches millions at low cost (~$1 per person reached). Saturation approach with frequent messaging.","Programs conduct population surveys to measure behavior change. RCT provides rigorous impact evidence on mortality.",https://www.developmentmedia.net/
88,Comprehensive Eye Care Services,Integrated eye health,Underserved populations globally,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/seva-foundation/,"Integrated eye health programs including screening, treatment, surgery, and rehabilitation preventing and treating blindness. Addresses cataracts, refractive errors, trachoma, diabetic retinopathy, and glaucoma. Community outreach identifies patients in remote areas. Affordable or free services for poorest. Training eye care professionals and strengthening systems. Programs in India, Nepal, Tibet, Bangladesh, Cambodia, Africa. Restores sight and prevents blindness cost-effectively.","Programs report on patients screened, surgeries performed, and visual outcomes. Quality monitoring ensures high success rates.",https://www.seva.org/
89,Ultra-Poverty Graduation Programs Multi-Component,Asset transfer plus support,Sub-Saharan Africa South Asia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/raising-the-village/,"Multi-component intervention combining asset transfers (livestock/agriculture), consumption support, savings facilitation, health interventions, and coaching to help ultra-poor households achieve sustainable livelihoods. Evidence from multiple RCTs shows large sustained impacts on income, assets, food security, and well-being. Targets households living on <$0.50/day. 18-24 month intensive support period. Focus on women-led households. Cost $400-2,000 per household depending on context.","Programs collect detailed household data tracking income, assets, and well-being. Multiple RCTs across countries demonstrate impact.",https://www.raisingthevillage.org/
90,Lead Paint Regulation Advocacy,Policy and regulatory advocacy,Low and middle-income countries,Founders Pledge,https://www.founderspledge.com/funds/global-health-and-development-fund,"Policy advocacy and technical assistance supporting governments to enact and enforce lead paint regulations. Lead exposure causes cognitive impairment in children with no safe level. Paint regulation is cost-effective prevention creating permanent infrastructure. Works with governments on legislation development, standards setting, and compliance monitoring. Estimated 800 million children globally exposed to lead. LEEP has contributed to regulations in 15+ countries protecting millions of children.","LEEP publishes reports on advocacy progress, policy wins, and estimated children protected. Transparent theory of change.",https://leadelimination.org/
91,Malaria Vaccine Rollout Support Programs,Vaccine introduction support,Nigeria DRC Burkina Faso Mozambique,GiveWell,https://www.givewell.org/all-grants-fund,"Technical assistance to ministries of health for integrating RTS,S and R21 malaria vaccines into national immunization programs. Supports training, community outreach, cold chain, and operational research. Malaria vaccines shown to reduce severe malaria and deaths by 30-40%. WHO recommends for children in malaria-endemic areas. Complements existing prevention tools. Programs support successful introduction and scale-up of this new intervention.","Vaccine programs monitored through immunization information systems. Coverage surveys and safety monitoring conducted.",https://www.path.org/programs/malaria-control-and-elimination/
92,Tuberculosis Household Contact Management,TB preventive treatment,High-burden countries,GiveWell,https://www.givewell.org/all-grants-fund,"Active case finding and preventive treatment (isoniazid or rifapentine) for young children (<5 years) exposed to tuberculosis in households. Reduces progression to active TB disease and death. Evidence shows preventive treatment reduces TB disease by 60-90% in exposed children. Cost-effective intervention in high-burden settings. Addresses gap in current TB programs which often miss household contacts. WHO recommends but coverage remains low.","Programs track household contact tracing, testing rates, and preventive treatment initiation. Monitors for adverse events.",https://www.who.int/teams/global-tuberculosis-programme
93,Oral Rehydration Solution Distribution,Diarrhea treatment,Low-income countries,GiveWell,https://www.givewell.org/all-grants-fund,"Community health worker delivery of oral rehydration salts (ORS) and zinc for treating childhood diarrhea preventing dehydration deaths. Diarrhea is second leading cause of death in children under 5 (500,000 deaths annually). ORS and zinc reduce diarrhea duration and severity. Evidence-based, cost-effective intervention. Low-osmolarity ORS is WHO-recommended standard. Combined with zinc, reduces mortality by 30%. CHW distribution improves access in remote areas.","Programs monitor ORS and zinc distribution and usage. Household surveys measure treatment rates for diarrhea episodes.",https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/diarrhoea
94,Pneumonia Case Management Programs,Integrated community case management,Sub-Saharan Africa South Asia,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/malaria-consortium/,"Community-level diagnosis and treatment of childhood pneumonia by trained health workers using antibiotics (amoxicillin). Reduces mortality from respiratory infections, leading cause of child death (750,000 annually). CHWs equipped to assess, classify, and treat using integrated management of childhood illness (IMCI) protocols. Evidence shows CHW treatment is effective and cost-effective. Improves access in areas without health facility coverage.","Programs monitor CHW caseload, treatment provision, and treatment outcomes. Quality assessments ensure appropriate care.",https://www.malariaconsortium.org/
95,Extractive Sector Transparency Programs,EITI implementation support,Resource-rich developing countries,Founders Pledge,https://www.founderspledge.com/funds/global-health-and-development-fund,"Support for countries to join and implement Extractive Industries Transparency Initiative standards. Multi-stakeholder process improves governance and revenue management in oil, gas, and mining sectors. Evidence shows EITI reduces corruption and increases GDP. Disclosure requirements cover revenue payments, contracts, beneficial ownership. Creates permanent accountability infrastructure. 57 implementing countries. Focus on translating transparency into accountability and development outcomes.","EITI implementation is transparent by design. All country reports, revenue data, and beneficial ownership published.",https://eiti.org/
96,Climate-Resilient Agriculture Programs,Climate adaptation for farmers,Sub-Saharan Africa,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/one-acre-fund/,"Training and inputs for farmers to adapt to climate change through drought-resistant crops, agroforestry, and sustainable farming practices. Climate change threatens food security and farmer livelihoods. Programs provide climate-smart seeds (drought-tolerant maize, beans), conservation agriculture training, and water management techniques. Evidence shows improved resilience and maintained yields despite climate shocks. Combines productivity increases with risk reduction.","Programs track adoption of climate-smart practices and measure resilience through yield stability analysis.",https://oneacrefund.org/climate/
97,Agroforestry Programs,Tree-based agriculture,Sub-Saharan Africa,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/one-acre-fund/,"Tree planting initiatives integrated with farming providing timber income, diversification, environmental benefits, and climate resilience for smallholder farmers. Distributes tree seedlings (fruit, timber, fodder) with training on management. Evidence shows improved farm income, soil fertility, and carbon sequestration. Addresses deforestation and land degradation. Trees provide long-term assets and multiple income streams. Climate adaptation benefits through erosion control and microclimate improvement.","Programs track tree seedling distribution, survival rates, and farmer adoption. Long-term monitoring of tree growth and benefits.",https://oneacrefund.org/trees/
98,Market Access for Smallholders Programs,Agricultural marketing support,Sub-Saharan Africa,The Life You Can Save,https://www.thelifeyoucansave.org/best-charities/one-acre-fund/,"Linking small-scale farmers to reliable markets and fair prices through aggregation, storage, and buyer connections. Addresses exploitation by middlemen and price volatility. Programs provide market information, collective marketing, and buyer relationships. Evidence shows higher farm-gate prices and reduced post-harvest losses. Some programs include storage facilities and quality grading. Focus on maximizing farmer profitability through better marketing. Connects farmers to formal value chains.","Programs track volumes marketed, prices received, and farmer income from sales. Compares to local market prices.",https://oneacrefund.org/
99,Women's Economic Empowerment Programs,Gender-focused economic development,Sub-Saharan Africa South Asia,Founders Pledge,https://www.founderspledge.com/programs/global-health-and-development,"Programs targeting women entrepreneurs with business training, credit access, and market linkages addressing gender barriers to economic participation. Evidence shows economic empowerment improves household well-being and women's agency. Addresses constraints women face including limited mobility, education, capital access, and market connections. Programs include business skills, savings groups, asset transfers, and mentoring. Focus on sustainable livelihoods and economic independence.","Programs measure business outcomes, income changes, and women's empowerment indicators. Some programs have RCT evidence.",https://www.founderspledge.com/programs/global-health-and-development
100,Kangaroo Mother Care Programs,Neonatal care,Low and middle-income countries,Founders Pledge,https://www.founderspledge.com/programs/global-health-and-development,"Skin-to-skin contact intervention for low-birthweight and preterm newborns improving thermoregulation, reducing mortality, and promoting breastfeeding. Evidence from multiple RCTs shows 40% mortality reduction in low-birthweight infants. Cost-effective requiring minimal equipment or infrastructure. Trains healthcare workers and establishes KMC units in government hospitals. Addresses major cause of neonatal deaths (2.4 million annually). WHO recommends for infants <2,000 grams. Focus on resource-limited settings where incubators unavailable.","Programs track babies receiving KMC, weight gain, and survival outcomes. Monitoring ensures protocol adherence and quality.",https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/newborn-health/kangaroo-mother-care
